Title,Singer,Year,Lyricist,Lyrics,Status
一切很美只因有你,陳慧琳,1995,,"自我有着你 快活我太多
zi6 ngo5 jau5 zoek6/ nei5 faai3 wut6 ngo5 taai3 do1
日日讓種種感覺 好好的擦過
jat6 jat6 joeng6 zung2 zung2 gam2 gok3/gaau3 hou2 hou2 dik1 caat3 gwo3
教我更喜愛做我 夢裏有着你
gaau3 ngo5 gang13 hei2 oi3 zou6 ngo5 mung6 leoi5 jau5 zoek6/ nei5
我夢到結果 站着在欣賞觀衆
ngo5 mung6 dou3 git3 gwo2 zaam6 zoek6/ zoi6 jan1 soeng2 gun1 zung3
歡呼聲散播 我也更相信自我
fun1 fu1 sing1/seng1 saan2/saan3 bo3 ngo5 jaa5 gang13 soeng13 seon3 zi6 ngo5
能夠有你 縱有挫折不難過
nang4 gau3 jau5 nei5 zung3/zung1 jau5 co3 zit3 bat1 naan4/naan6 gwo3
仍舊衝刺我未怕跌墮
jing4 gau6 cung1 ci3 ngo5 mei6 paa3 dit3 do6
旁人問你是誰 你是誰
pong4 jan4 man6 nei5 si6 seoi4 nei5 si6 seoi4
我說你是 心中找到的信心
ngo5 syut3 nei5 si6 sam1 zung1 zaau2 dou3 dik1 seon3 sam1
星也閃過眼中 海也跟我相擁
sing1 jaa5 sim2 gwo3 ngaan5 zung1 hoi2 jaa5 gan1 ngo5 soeng13 jung2
所有感覺也美 當開始有你
so2 jau5 gam2 gok3/gaau3 jaa5 mei5 dong13 hoi1 ci2 jau5 nei5
一切因你發起 一切很美只因有你
jat1 cai3 jan1 nei5 faat3 hei2 jat1 cai3 han2 mei5 zi2 jan1 jau5 nei5
風會吹暖我心 陽光會跟我親吻
fung1 wui ceoi1 nyun5 ngo5 sam1 joeng4 gwong1 wui gan1 ngo5 can1 man5
所有所有感覺也美 多喜歡有你
so2 jau5 so2 jau5 gam2 gok3/gaau3 jaa5 mei5 do1 hei2 fun1 jau5 nei5
一切因你發起 一切很美只因有你
jat1 cai3 jan1 nei5 faat3 hei2 jat1 cai3 han2 mei5 zi2 jan1 jau5 nei5

我也更相信 能夠有你
ngo5 jaa5 gang13 soeng13 seon3 nang4 gau3 jau5 nei5
縱有挫折不難過 仍舊衝刺我未怕跌墮
zung3/zung1 jau5 co3 zit3 bat1 naan4/naan6 gwo3 jing4 gau6 cung1 ci3 ngo5 mei6 paa3 dit3 do6
旁人問你是誰 你是誰
pong4 jan4 man6 nei5 si6 seoi4 nei5 si6 seoi4
我說你是 心中找到的信心
ngo5 syut3 nei5 si6 sam1 zung1 zaau2 dou3 dik1 seon3 sam1
星也閃過眼中 海也跟我相擁
sing1 jaa5 sim2 gwo3 ngaan5 zung1 hoi2 jaa5 gan1 ngo5 soeng13 jung2
所有所有感覺也美
so2 jau5 so2 jau5 gam2 gok3/gaau3 jaa5 mei5
當開始有你 一切因你發起
dong13 hoi1 ci2 jau5 nei5 jat1 cai3 jan1 nei5 faat3 hei2
一切很美只因有你
jat1 cai3 han2 mei5 zi2 jan1 jau5 nei5
風會吹暖我心 陽光會跟我親吻
fung1 wui ceoi1 nyun5 ngo5 sam1 joeng4 gwong1 wui gan1 ngo5 can1 man5
所有所有感覺也美 多喜歡有你
so2 jau5 so2 jau5 gam2 gok3/gaau3 jaa5 mei5 do1 hei2 fun1 jau5 nei5
一切因你發起 一切很美只因有你
jat1 cai3 jan1 nei5 faat3 hei2 jat1 cai3 han2 mei5 zi2 jan1 jau5 nei5
星也閃過眼中 海也跟我相擁
sing1 jaa5 sim2 gwo3 ngaan5 zung1 hoi2 jaa5 gan1 ngo5 soeng13 jung2
所有所有感覺也美 當開始有你
so2 jau5 so2 jau5 gam2 gok3/gaau3 jaa5 mei5 dong13 hoi1 ci2 jau5 nei5
一切因你發起 一切很美只因有你
jat1 cai3 jan1 nei5 faat3 hei2 jat1 cai3 han2 mei5 zi2 jan1 jau5 nei5
風會吹暖我心 陽光會跟我親吻
fung1 wui ceoi1 nyun5 ngo5 sam1 joeng4 gwong1 wui gan1 ngo5 can1 man5
所有所有感覺也美 多喜歡有你
so2 jau5 so2 jau5 gam2 gok3/gaau3 jaa5 mei5 do1 hei2 fun1 jau5 nei5
一切因你發起 一切很美只因有你
jat1 cai3 jan1 nei5 faat3 hei2 jat1 cai3 han2 mei5 zi2 jan1 jau5 nei5",matched
男唱女唱,黃耀明,1995,,,not_found
傷信,陳奕迅,1995,周禮茂,"重讀着你的告別信 抑壓而暗涌
cung45/zung6 duk6 zoek6/ nei5 dik1 gou3 bit6 seon3 jik1 aat3 ji4 am3 jung2
雖不信寫的話 竟可以這麼重
seoi1 bat1 seon3 se2 dik1 waa6 ging2 ho2 ji5 ze5 mo1 cung45/zung6
但再哭亦無用
daan6 zoi3 huk1 jik6 mou4 jung6

徐徐又當這信是你 緊貼我抱擁
ceoi4 ceoi4 jau6 dong13 ze5 seon3 si6 nei5 gan2 tip3 ngo5 pou5 jung2
可惜信太單薄 怎可填密落空
ho2 sik1 seon3 taai3 daan1 bok6 zam2 ho2 tin4 mat6 lok6 hung1
愈信傷早抑壓 痛便愈沉重
jyu6 seon3 soeng1 zou2 jik1 aat3 tung3 bin6 jyu6 cam4 cung45/zung6

難平衡自己 忐忑的起伏
naan4/naan6 ping4 hang4 zi6 gei2 taan2 tik1 dik1 hei2 fuk6
難原諒我心 反覆的變動
naan4/naan6 jyun4 loeng6 ngo5 sam1 faan2 fuk1 dik1 bin3 dung6
是我個性舞擺 換來這封信
si6 ngo5 go3 sing3 mou5 baai2 wun6 loi4 ze5 fung1 seon3
曾令你瘋 舊情要一別而盡
cang4 ling6 nei5 fung1 gau6 cing4 jiu3 jat1 bit6 ji4 zeon6

仍多麼需要你 仍多麼需要你
jing4 do1 mo1 seoi1 jiu3 nei5 jing4 do1 mo1 seoi1 jiu3 nei5
如今天失去了 怎麼退怎麼進
jyu4 gam1 tin1 sat1 heoi3 liu5 zam2 mo1 teoi3 zam2 mo1 zeon3
如果可不要信 寧死都不要信
jyu4 gwo2 ho2 bat1 jiu3 seon3 ning4 sei2 dou1 bat1 jiu3 seon3
但看我手 再激動仍只得傷信
daan6 hon3 ngo5 sau2 zoi3 gik1 dung6 jing4 zi2 dak1 soeng1 seon3",matched
時代曲,陳奕迅,1995,,"就散席了 人客急將美酒喝掉
zau6 saan2/saan3 zik6 liu5 jan4 haak3 gap1 zoeng1 mei5 zau2 hot3 diu6

趕於舞曲奏盡前離坐
gon2 jyu1 mou5 kuk1 zau3 zeon6 cin4 lei4 co5/zo6
是我夜了吧 最後這分鐘到場
si6 ngo5 je6 liu5 baa6 zeoi3 hau6 ze5 fan1/fan6 zung1 dou3 coeng4
待熱情盡過 方看到場內燦爛火
doi6 jit6 cing4 zeon6 gwo3 fong1 hon3 dou3 coeng4 noi6 caan3 laan6 fo2
好想唱一闕歌 叫你認清楚我
hou2 soeng2 coeng3 jat1 kyut3 go1 giu3 nei5 jing6 cing1 co2 ngo5
我也曾到來慶賀
ngo5 jaa5 cang4 dou3 loi4 hing3 ho6
好想唱一闕歌 見證日子怎過
hou2 soeng2 coeng3 jat1 kyut3 go1 gin3 zing3 jat6 zi2 zam2 gwo3
那個時勢能沒有歌
naa5 go3 si4 sai3 nang4 mut6 jau5 go1

若問你會如何 你會罵我別傻剩下
joek6 man6 nei5 wui jyu4 ho4 nei5 wui maa6 ngo5 bit6 so4 sing6 haa6
光景不多
gwong1 ging2 bat1 do1
但是你會如何 我也沒有耐何
daan6 si6 nei5 wui jyu4 ho4 ngo5 jaa5 mut6 jau5 noi6 ho4
盼你亦賞面安坐
paan3 nei5 jik6 soeng2 min6 on1 co5/zo6
替我用掌聲和唱着這歌
tai3 ngo5 jung6 zoeng2 sing1/seng1 wo4 coeng3 zoek6/ ze5 go1

就散席了 人客心知箇中奧妙
zau6 saan2/saan3 zik6 liu5 jan4 haak3 sam1 zi1 箇zung1 ngou3 miu6
將講到一半話題完掉
zoeng1 gong2 dou3 jat1 bun3 waa6 tai4 jyun4 diu6
若註定這樣 故事尾聲方進場
joek6 zyu3 ding6 ze5 joeng6 gu3 si6 mei5 sing1/seng1 fong1 zeon3 coeng4
別人話遲極了 願時代仍爲我留了坐
bit6 jan4 waa6 ci4 gik6 liu5 jyun6 si4 doi6 jing4 wai46 ngo5 lau4 liu5 co5/zo6

只想唱一闕歌 叫你認清我
zi2 soeng2 coeng3 jat1 kyut3 go1 giu3 nei5 jing6 cing1 ngo5
我也曾到來慶賀
ngo5 jaa5 cang4 dou3 loi4 hing3 ho6
只想唱一闕唱 一首悽美的讚歌
zi2 soeng2 coeng3 jat1 kyut3 coeng3 jat1 sau2 cai1 mei5 dik1 zaan3 go1
派對完結前爲你寫的唱
paai3 deoi3 jyun4 git3 cin4 wai46 nei5 se2 dik1 coeng3

若問你會如何 你會罵我別傻
joek6 man6 nei5 wui jyu4 ho4 nei5 wui maa6 ngo5 bit6 so4
剩下光景不多
sing6 haa6 gwong1 ging2 bat1 do1
但是你會如何 我也沒有耐何
daan6 si6 nei5 wui jyu4 ho4 ngo5 jaa5 mut6 jau5 noi6 ho4
盼你耐心的安坐 怕以後掌聲沒夠是晚多
paan3 nei5 noi6 sam1 dik1 on1 co5/zo6 paa3 ji5 hau6 zoeng2 sing1/seng1 mut6 gau3 si6 maan5 do1

若問那裏不妥 你會罵我別傻
joek6 man6 naa5 leoi5 bat1 to2 nei5 wui maa6 ngo5 bit6 so4
剩下光景不多 別寄望太多
sing6 haa6 gwong1 ging2 bat1 do1 bit6 gei3 mong6 taai3 do1
日後我會如何 我也沒有耐何
jat6 hau6 ngo5 wui jyu4 ho4 ngo5 jaa5 mut6 jau5 noi6 ho4
卻怕在今晚之後 不知有誰來迫我
koek3 paa3 zoi6 gam1 maan5 zi1 hau6 bat1 zi1 jau5 seoi4 loi4 baak1/bik1 ngo5
轉唱另一些歌
zyun2/zyun3 coeng3 ling6 jat1 se1 go1",matched
每隔兩秒,趙學而,1995,,"如時針 愛念每刻運行
jyu4 si4 zam1 oi3 nim6 mui5 hak1 wan6 hang4/hang6/hong4
每一秒一分 仍在構想入神
mui5 jat1 miu5 jat1 fan1/fan6 jing4 zoi6 kau3/gau3 soeng2 jap6 san4
夜裏夢裏真愛來臨
je6 leoi5 mung6 leoi5 zan1 oi3 loi4 lam4
日裏未有發生
jat6 leoi5 mei6 jau5 faat3 sang1/saang1

仍狂想 這幻覺多逼真
jing4 kwong4 soeng2 ze5 waan6 gok3/gaau3 do1 bik1 zan1
聽到你聲音 猶像置身白雲
ting1/teng1 dou3 nei5 sing1/seng1 jam1 jau4 zoeng6 zi3 san1 baak6 wan4
是我未壓仰的興奮
si6 ngo5 mei6 aat3 joeng5 dik1 hing1/hing3 fan5
令我樂意傾心
ling6 ngo5 lok6/ngok6 ji3 king1 sam1

每隔兩秒我都想起你
mui5 gaak3 loeng5 miu5 ngo5 dou1 soeng2 hei2 nei5
但我不懂使你心歡喜
daan6 ngo5 bat1 dung2 si2 nei5 sam1 fun1 hei2
每隔兩秒我都想起你
mui5 gaak3 loeng5 miu5 ngo5 dou1 soeng2 hei2 nei5
完全忘掉了自己
jyun4 cyun4 mong4 diu6 liu5 zi6 gei2

愛 會變成真 兩分鐘的熱吻
oi3 wui bin3 sing4 zan1 loeng5 fan1/fan6 zung1 dik1 jit6 man5
成爲現實愛人 誰願夢裏白等
sing4 wai46 jin6 sat6 oi3 jan4 seoi4 jyun6 mung6 leoi5 baak6 dang2
愛那有原因 兩心只須合襯
oi3 naa5 jau5 jyun4 jan1 loeng5 sam1 zi2 seoi1 hap6 can3
然後慢慢兩人 情難自禁 再熱吻
jin4 hau6 maan6 maan6 loeng5 jan4 cing4 naan4/naan6 zi6 gam1/gam3 zoi3 jit6 man5

人情深 我是過於天真
jan4 cing4 sam1 ngo5 si6 gwo3 jyu1 tin1 zan1
不去關燈 全爲怕這黑暗
bat1 heoi3 gwaan1 dang1 cyun4 wai46 paa3 ze5 hak1 am3
願你夜裏給點指引 共結伴過一生
jyun6 nei5 je6 leoi5 kap1 dim2 zi2 jan5 gung6 git3 bun6 gwo3 jat1 sang1/saang1",matched
失憶諒解備忘錄,郭富城,1995,,"人像透視 這世界變了瘋狂

存在意義 消失了個個很忙

迷失故事 上演了人人發慌

已失去記憶 你不必驚訝

記憶 已失蹤了吧 記憶 作廢吧



不愛講也不愛亂說謊

不愛想也不怕這恐慌

我避你又發現你避我眼光

不再肯真摯不再肯相對望

請體恤見諒請大家都備忘

潮流是遺忘無力抗



人像透視 這世界變了瘋狂

存在意義 消失了個個很忙

迷失故事 上演了人人發慌

已失去記憶 你不必驚訝

記憶 已失蹤了吧 記憶 太笑話



不愛講也不愛亂說謊

不愛想也不怕這恐慌

我避你又發現你避我眼光

不再肯真摯不再肯相對望

請體恤見諒請大家都備忘

潮流是遺忘無力抗



不愛講也不愛亂說謊

不愛想也不怕這恐慌

我避你又發現你避我眼光

不再肯真摯不再肯相對望

請體恤見諒請大家都備忘

潮流是遺忘無力抗",google
曖昧,王菲,1995,林夕,"眉目裏似哭不似哭
mei4 muk6 leoi5 ci5 huk1 bat1 ci5 huk1
還祈求什麼說不出
waan4 kei4 kau4 sam6 mo1 syut3 bat1 ceot1
陪着你輕呼着菸圈
pui4 zoek6/ nei5 hing1/heng1 fu1 zoek6/ jin1 hyun1
到脣邊 講不出滿足
dou3 seon4 bin1 gong2 bat1 ceot1 mun5 zuk1
你的溫柔怎可以捕捉
nei5 dik1 wan1 jau4 zam2 ho2 ji5 bou6 zuk1
越來越近 卻從不接觸
jyut6 loi4 jyut6 gan6/kan5 koek3 cung4 bat1 zip3 cuk1/zuk1

茶沒有喝光早變酸
caa4 mut6 jau5 hot3 gwong1 zou2 bin3 syun1
從來未熱戀已相戀
cung4 loi4 mei6 jit6 lyun2 ji5 soeng13 lyun2
陪着你天天在兜圈
pui4 zoek6/ nei5 tin1 tin1 zoi6 dau1 hyun1
那纏繞 怎麼可算短
naa5 cin4 jiu2/jiu5 zam2 mo1 ho2 syun3 dyun2
你的衣裳今天我在穿
nei5 dik1 ji1 soeng4 gam1 tin1 ngo5 zoi6 cyun1
未留住你 卻仍然溫暖
mei6 lau4 zyu6 nei5 koek3 jing4 jin4 wan1 nyun5

徘徊在似苦又甜之間
pui4 wui4 zoi6 ci5 fu2 jau6 tim4 zi1 gaan13
望不穿這曖昧的眼
mong6 bat1 cyun1 ze5 oi2 mui6 dik1 ngaan5
愛或情借來填一晚
oi3 waak6 cing4 ze3 loi4 tin4 jat1 maan5
終須都歸還 無謂多貪
zung1 seoi1 dou1 gwai1 waan4 mou4 wai6 do1 taam1
猶疑在似即若離之間
jau4 ji4 zoi6 ci5 zik1 joek6 lei4 zi1 gaan13
望不穿這曖昧的眼
mong6 bat1 cyun1 ze5 oi2 mui6 dik1 ngaan5
似是濃卻仍然很淡 天早灰藍
ci5 si6 nung4 koek3 jing4 jin4 han2 daam6/taam5 tin1 zou2 fui1 laam4
想告別 偏未晚
soeng2 gou3 bit6 pin1 mei6 maan5",matched
妳的名字我的姓氏,張學友,1996,林夕,"曾聽說過 尋覓愛情
cang4 ting1/teng1 syut3 gwo3 cam4 mik6 oi3 cing4
就像天與地別離和重聚過程
zau6 zoeng6 tin1 jyu5 dei6 bit6 lei4 wo4 cung45/zung6 zeoi6 gwo3 cing4
而我跟你 平靜旅程
ji4 ngo5 gan1 nei5 ping4 zing6 leoi5 cing4
並沒有驚心也沒動魄的情境
bing6 mut6 jau5 geng1/ging1 sam1 jaa5 mut6 dung6 paak3 dik1 cing4 ging2

只需要 當天邊海角競賽追逐時
zi2 seoi1 jiu3 dong13 tin1 bin1 hoi2 gok3 ging6 coi3 zeoi1 zuk6 si4
可跟你 安躺於家裏便覺最寫意
ho2 gan1 nei5 on1 tong2 jyu1 gaa1 leoi5 bin6 gok3/gaau3 zeoi3 se2 ji3
只需要 最迴腸蕩氣之時
zi2 seoi1 jiu3 zeoi3 wui4 coeng4 dong6 hei3 zi1 si4
可用你的名字
ho2 jung6 nei5 dik1 ming4 zi6
和我姓氏 成就這故事
wo4 ngo5 sing3 si6 sing4 zau6 ze5 gu3 si6

從此以後 無憂無求
cung4 ci2 ji5 hau6 mou4 jau1 mou4 kau4
故事平淡但當中有你已經足夠
gu3 si6 ping4 daam6/taam5 daan6 dong13 zung1 jau5 nei5 ji5 ging1 zuk1 gau3

如果要說 何謂愛情
jyu4 gwo2 jiu3 syut3 ho4 wai6 oi3 cing4
便是跟你動盪時閒話着細情
bin6 si6 gan1 nei5 dung6 dong6 si4 haan4 waa6 zoek6/ sai3 cing4
和你走過 無盡旅程
wo4 nei5 zau2 gwo3 mou4 zeon6 leoi5 cing4
就是到天昏發白亦愛得年青
zau6 si6 dou3 tin1 fan1 faat3 baak6 jik6 oi3 dak1 nin4 cing1/ceng1

不相信 當天荒不再地老不合時
bat1 soeng13 seon3 dong13 tin1 fong1 bat1 zoi3 dei6 lou5 bat1 hap6 si4
竟跟你 多相擁一次便愛多一次
ging2 gan1 nei5 do1 soeng13 jung2 jat1 ci3 bin6 oi3 do1 jat1 ci3
怎相信 最迴腸蕩氣之時
zam2 soeng13 seon3 zeoi3 wui4 coeng4 dong6 hei3 zi1 si4
可用你的名字
ho2 jung6 nei5 dik1 ming4 zi6
和我姓氏 成就這故事
wo4 ngo5 sing3 si6 sing4 zau6 ze5 gu3 si6

從此以後 無憂無求
cung4 ci2 ji5 hau6 mou4 jau1 mou4 kau4
故事平淡但當中有你已經足夠
gu3 si6 ping4 daam6/taam5 daan6 dong13 zung1 jau5 nei5 ji5 ging1 zuk1 gau3
從此以後 無憂無求
cung4 ci2 ji5 hau6 mou4 jau1 mou4 kau4
故事平淡但當中有你已經足夠
gu3 si6 ping4 daam6/taam5 daan6 dong13 zung1 jau5 nei5 ji5 ging1 zuk1 gau3

快樂童話像你我一對已經足夠
faai3 lok6/ngok6 tung4 waa6 zoeng6 nei5 ngo5 jat1 deoi3 ji5 ging1 zuk1 gau3",matched
你的男人,許志安,1996,林若寧,"年少放縱時常有藉口
nin4 siu23 fong3 zung3/zung1 si4 soeng4 jau5 zik6/ze3 hau2
太多嗜好與太多損友
taai3 do1 si3 hou2 jyu5 taai3 do1 syun2 jau5
得七歲智慧胡亂闖未曾善後
dak1 cat1 seoi3 zi3 wai6 wu4 lyun6 cong2 mei6 cang4 sin6 hau6
歲月似神偷
seoi3 jyut6 ci5 san4 tau1
你以雙倍耐性維持愛的寬厚
nei5 ji5 soeng1 pui5 noi6 sing3 wai4 ci4 oi3 dik1 fun1 hau5
眼看你諒解的眼光
ngaan5 hon3 nei5 loeng6 gaai2 dik1 ngaan5 gwong1
柔和但使我更內疚
jau4 wo4 daan6 si2 ngo5 gang13 noi6 gau3

我盡力學習成爲男人
ngo5 zeon6 lik6 hok6 zaap6 sing4 wai46 naam4 jan4
有了你我會做事認真
jau5 liu5 nei5 ngo5 wui zou6 si6 jing6 zan1
珍惜一個人 終於改變一個人
zan1 sik1 jat1 go3 jan4 zung1 jyu1 goi2 bin3 jat1 go3 jan4
愛情令缺點有了知音
oi3 cing4 ling6 kyut3 dim2 jau5 liu5 zi1 jam1
你就是動力成全人生
nei5 zau6 si6 dung6 lik6 sing4 cyun4 jan4 sang1/saang1
無論充裕或苦困
mou4 leon6 cung1 jyu6 waak6 fu2 kwan3
毫無異心虔誠爲你爭取滿分
hou4 mou4 ji6 sam1 kin4 sing4 wai46 nei5 zang1/zaang1 ceoi2 mun5 fan1/fan6
我專心替你一世護蔭
ngo5 zyun1 sam1 tai3 nei5 jat1 sai3 wu6 jam3

能照顧你成爲我理想
nang4 ziu3 gu3 nei5 sing4 wai46 ngo5 lei5 soeng2
背得上重擔變得堅壯
bui6 dak1 soeng56 cung45/zung6 daam1 bin3 dak1 gin1 zong3
參得透世故能爲小事而着想
caam1 dak1 tau3 sai3 gu3 nang4 wai46 siu2 si6 ji4 zoek6/ soeng2
愛令我成長
oi3 ling6 ngo5 sing4 coeng4/zoeng2
我會剋制令我迷途過的心癢
ngo5 wui hak1 zai3 ling6 ngo5 mai4 tou4 gwo3 dik1 sam1 joeng5
你眼睛彷彿一扇窗
nei5 ngaan5 zing1 fong2 fat1 jat1 sin3 coeng1
擡頭望到我最大方向
toi4 tau4 mong6 dou3 ngo5 zeoi3 daai6 fong1 hoeng3

我盡力學習成爲男人
ngo5 zeon6 lik6 hok6 zaap6 sing4 wai46 naam4 jan4
有了你我會做事認真
jau5 liu5 nei5 ngo5 wui zou6 si6 jing6 zan1
珍惜一個人 終於改變一個人
zan1 sik1 jat1 go3 jan4 zung1 jyu1 goi2 bin3 jat1 go3 jan4
愛情令缺點有了知音
oi3 cing4 ling6 kyut3 dim2 jau5 liu5 zi1 jam1
你就是動力成全人生
nei5 zau6 si6 dung6 lik6 sing4 cyun4 jan4 sang1/saang1
無論充裕或苦困
mou4 leon6 cung1 jyu6 waak6 fu2 kwan3
毫無異心虔誠爲你爭取滿分
hou4 mou4 ji6 sam1 kin4 sing4 wai46 nei5 zang1/zaang1 ceoi2 mun5 fan1/fan6
我足跡這一生貼着你足印
ngo5 zuk1 zik1 ze5 jat1 sang1/saang1 tip3 zoek6/ nei5 zuk1 jan3

身體怕支撐不到
san1 tai2 paa3 zi1 caang1 bat1 dou3
擔心走得比你更快更早
daam1 sam1 zau2 dak1 bei2 nei5 gang13 faai3 gang13 zou2
活在現在我要惡補
wut6 zoi6 jin6 zoi6 ngo5 jiu3 ok3/wu3 bou2
跑過每條長路
paau2 gwo3 mui5 tiu4 coeng4/zoeng2 lou6
我要健壯到與你終老
ngo5 jiu3 gin6 zong3 dou3 jyu5 nei5 zung1 lou5
多辛苦都要送給你最好
do1 san1 fu2 dou1 jiu3 sung3 kap1 nei5 zeoi3 hou2

我盡力學習成爲男人
ngo5 zeon6 lik6 hok6 zaap6 sing4 wai46 naam4 jan4
有了你我會做事認真
jau5 liu5 nei5 ngo5 wui zou6 si6 jing6 zan1
捉不緊永恆 捉得緊你的愛人
zuk1 bat1 gan2 wing5 hang4 zuk1 dak1 gan2 nei5 dik1 oi3 jan4
要成熟半點叫你安心
jiu3 sing4 suk6 bun3 dim2 giu3 nei5 on1 sam1
你就是日後勤勞原因
nei5 zau6 si6 jat6 hau6 kan4 lou4 jyun4 jan1
平淡生命亦興奮
ping4 daam6/taam5 sang1/saang1 ming6/meng6 jik6 hing1/hing3 fan5
凡事着緊一想起你增添勇敢
faan4 si6 zoek6/ gan2 jat1 soeng2 hei2 nei5 zang1 tim1 jung5 gam2
這身份你放心笑着去應允
ze5 san1 fan6 nei5 fong3 sam1 siu3 zoek6/ heoi3 jing13 wan5

我要被你親手軟禁
ngo5 jiu3 bei6/ nei5 can1 sau2 jyun5 gam1/gam3",matched
情深說話未曾講,黎明,1996,潘源良,"仍然在遠方 追我夢與想
jing4 jin4 zoi6 jyun5 fong1 zeoi1 ngo5 mung6 jyu5 soeng2
繼續懷念你 卻又這麼漫長
gai3 zuk6 waai4 nim6 nei5 koek3 jau6 ze5 mo1 maan6 coeng4/zoeng2
從前未會想 感覺是雙方
cung4 cin4 mei6 wui soeng2 gam2 gok3/gaau3 si6 soeng1 fong1
你若燃亮我 我亦要懂得釋放
nei5 joek6 jin4 loeng6 ngo5 ngo5 jik6 jiu3 dung2 dak1 sik1 fong3

過去每日同路往
gwo3 heoi3 mui5 jat6 tung4 lou6 wong5
不懂珍惜那些境況
bat1 dung2 zan1 sik1 naa5 se1 ging2 fong3
這晚我獨來獨往
ze5 maan5 ngo5 duk6 loi4 duk6 wong5
卻是太后悔浪費共對時光
koek3 si6 taai3 hau6 fui3 long6 fai3 gung6 deoi3 si4 gwong1

你這剎那在何方
nei5 ze5 caat3/saat3 naa5 zoi6 ho4 fong1
我有說話未曾講
ngo5 jau5 syut3 waa6 mei6 cang4 gong2
如何能連繫上
jyu4 ho4 nang4 lin4 hai6 soeng56
與你再相伴在旁
jyu5 nei5 zoi3 soeng13 bun6 zoi6 pong4

愛意要是沒回響
oi3 ji3 jiu3 si6 mut6 wui4 hoeng2
世界與我又何干
sai3 gaai3 jyu5 ngo5 jau6 ho4 gon1
原來仍然是你
jyun4 loi4 jing4 jin4 si6 nei5
叫我永不斷自強 如晨光
giu3 ngo5 wing5 bat1 dyun6/dyun3/tyun5 zi6 koeng4/koeng5/goeng6 jyu4 san4 gwong1

遙遙同往 在途上
jiu4 jiu4 tung4 wong5 zoi6 tou4 soeng56

情意比天更晴朗
cing4 ji3 bei2 tin1 gang13 cing4 long5
無數遠景再同創 
mou4 sou2/sou3 jyun5 ging2 zoi3 tung4 cong1/cong3
願再去找 更遼闊同行地方
jyun6 zoi3 heoi3 zaau2 gang13 liu4 fut3 tung4 hang4/hang6/hong4 dei6 fong1

前路獨個闖 溫暖是妄想
cin4 lou6 duk6 go3 cong2 wan1 nyun5 si6 mong5 soeng2
每日來又往 也像隔一道牆
mui5 jat6 loi4 jau6 wong5 jaa5 zoeng6 gaak3 jat1 dou6 coeng4
回頭又再想 心裏漸奔放
wui4 tau4 jau6 zoi3 soeng2 sam1 leoi5 zim6 ban1 fong3
你若能會意 掛念已找到方向
nei5 joek6 nang4 wui ji3 gwaa3 nim6 ji5 zaau2 dou3 fong1 hoeng3",matched
發現,鄭伊健,1996,黃偉文,"從來沒有 讓我 望見
cung4 loi4 mut6 jau5 joeng6 ngo5 mong6 gin3
實際是那一面 我追 你閃
sat6 zai3 si6 naa5 jat1 min6 ngo5 zeoi1 nei5 sim2
如陷迷陣裏面 化身 百千
jyu4 haam6 mai4 zan6 leoi5 min6 faa3 san1 baak3 cin1
眉目一轉 動地震天
mei4 muk6 jat1 zyun2/zyun3 dung6 dei6 zan3 tin1
變沒有 伏線 讓我心慌意亂
bin3 mut6 jau5 fuk6 sin3 joeng6 ngo5 sam1 fong1 ji3 lyun6
半開 半掩 猶像隱敝樂園
bun3 hoi1 bun3 jim2 jau4 zoeng6 jan2 bai6 lok6/ngok6 jyun4
我想 每天 層層地發現
ngo5 soeng2 mui5 tin1 cang4 cang4 dei6 faat3 jin6
逐漸地揭穿
zuk6 zim6 dei6 kit3 cyun1

讓你的 離奇新鮮
joeng6 nei5 dik1 lei4 kei4 san1 sin1/sin2
留待我 隨時發現
lau4 doi6 ngo5 ceoi4 si4 faat3 jin6
曾在舉指間 呼吸裏
cang4 zoi6 geoi2 zi2 gaan13 fu1 kap1 leoi5
思想中 轉眼掠過
si1 soeng2 zung1 zyun2/zyun3 ngaan5 loek6 gwo3
微妙碎片
mei4 miu6 seoi3 pin2/pin3
任角色 如何轉變
jam6 gok3 sik1 jyu4 ho4 zyun2/zyun3 bin3
還是看見你天真的臉
waan4 si6 hon3 gin3 nei5 tin1 zan1 dik1 lim5
奇緣這一生這一處這一刻給我遇見
kei4 jyun4 ze5 jat1 sang1/saang1 ze5 jat1 cyu35 ze5 jat1 hak1 kap1 ngo5 jyu6 gin3
追逐你飄忽的臉
zeoi1 zuk6 nei5 piu1 fat1 dik1 lim5

從來沒有 讓我 望見
cung4 loi4 mut6 jau5 joeng6 ngo5 mong6 gin3
實際是那一面 我追 你閃
sat6 zai3 si6 naa5 jat1 min6 ngo5 zeoi1 nei5 sim2
猶像隱敝樂園 我想 每天
jau4 zoeng6 jan2 bai6 lok6/ngok6 jyun4 ngo5 soeng2 mui5 tin1
層層地發現 逐漸地揭穿
cang4 cang4 dei6 faat3 jin6 zuk6 zim6 dei6 kit3 cyun1",matched
